repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,IssuesEvent,PullRequestEvent,PushEvent,CreateEvent,DeleteEvent,ReleaseEvent,CommitCommentEvent,total
hyperledger/iroha,2024-01,184,164,53,63,11,6,0,0,0,0,481
hyperledger/iroha,2024-02,176,143,22,17,15,18,0,0,0,0,391
hyperledger/iroha,2024-03,173,152,20,18,14,12,0,0,0,0,389
hyperledger/iroha,2024-04,118,50,49,21,13,15,2,1,1,0,270
hyperledger/iroha,2024-05,121,113,32,34,40,31,10,1,1,0,383
hyperledger/iroha,2024-06,180,137,38,19,30,19,0,0,0,0,423
hyperledger/iroha,2024-07,163,124,31,31,31,16,2,0,2,0,400
hyperledger/iroha,2024-08,121,85,50,36,15,5,2,0,2,0,316
hyperledger/iroha,2024-09,100,62,27,29,19,18,1,0,0,0,256
hyperledger/iroha,2024-10,94,77,67,83,30,22,1,1,0,0,375
hyperledger-iroha/iroha,2024-10,22,14,3,8,9,6,0,0,0,0,62
hyperledger-iroha/iroha,2024-11,117,108,13,10,11,13,0,0,0,0,272
hyperledger-iroha/iroha,2024-12,9,6,1,0,5,3,2,0,0,0,26
hyperledger-iroha/iroha,2025-01,0,0,3,0,0,1,0,0,1,0,5
hyperledger-iroha/iroha,2025-02,22,9,3,2,2,0,0,0,0,0,38
hyperledger-iroha/iroha,2025-03,16,4,5,1,0,0,0,0,0,0,26
hyperledger/iroha-2-docs,2024-01,1,1,1,0,0,0,0,0,0,0,3
hyperledger/iroha-2-docs,2024-02,0,0,3,0,0,0,0,0,0,0,3
hyperledger/iroha-2-docs,2024-05,21,18,4,0,0,0,0,0,0,0,43
hyperledger/iroha-2-docs,2024-09,1,0,0,0,0,0,0,0,0,0,1
hyperledger/iroha-java,2024-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger/iroha-java,2024-04,0,0,1,1,2,4,3,2,0,0,13
hyperledger/iroha-java,2024-05,0,0,0,0,0,4,0,0,0,0,4
hyperledger/iroha-java,2024-06,0,0,0,0,0,9,1,0,0,0,10
hyperledger/iroha-java,2024-07,0,0,0,0,2,5,2,0,0,0,9
hyperledger/iroha-java,2024-08,0,0,0,0,0,1,0,0,0,0,1
hyperledger/iroha-java,2024-10,2,1,0,0,0,0,0,0,0,0,3
hyperledger/iroha-python,2024-04,9,6,3,1,4,9,0,3,0,2,37
hyperledger-iroha/iroha-java,2024-11,0,0,0,0,0,17,0,0,0,0,17
hyperledger-iroha/iroha-java,2024-12,0,0,0,0,0,2,0,0,0,0,2
hyperledger-iroha/iroha-java,2025-01,0,0,0,0,1,7,0,0,0,0,8
hyperledger-iroha/iroha-java,2025-02,0,0,0,0,2,2,0,0,0,0,4
hyperledger/iroha-news,2024-05,1,0,0,0,0,0,0,0,0,0,1
hyperledger/iroha-news,2024-06,5,5,0,0,0,0,0,0,0,0,10
hyperledger/iroha-news,2024-07,3,0,0,0,0,0,0,0,0,0,3
hyperledger/iroha-news,2024-08,2,1,0,0,0,0,0,0,0,0,3
hyperledger-iroha/iroha-2-examples,2024-11,6,7,0,0,0,0,0,0,0,0,13
hyperledger/iroha-javascript,2024-01,0,0,1,1,0,0,0,0,0,0,2
hyperledger/iroha-javascript,2024-02,0,0,0,1,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2024-04,0,0,0,1,0,0,0,0,0,0,1
