repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,DeleteEvent,CreateEvent,IssuesEvent,PullRequestReviewCommentEvent,IssueCommentEvent,ReleaseEvent,total
credebl/studio,2024-01,0,1,0,0,2,1,0,0,0,4
credebl/studio,2024-02,3,4,2,0,1,0,0,0,0,10
credebl/studio,2024-03,19,12,3,64,7,0,0,0,0,105
credebl/studio,2024-04,3,2,0,0,2,0,0,0,0,7
credebl/studio,2024-05,38,7,7,0,0,0,0,0,0,52
credebl/studio,2024-06,63,23,15,8,6,0,6,0,0,121
credebl/studio,2024-07,18,11,1,0,5,0,0,0,0,35
credebl/studio,2024-08,46,30,23,0,15,1,12,1,0,128
credebl/studio,2024-09,16,6,4,17,2,1,2,2,0,50
credebl/studio,2024-10,88,48,3,17,20,0,0,1,0,177
credebl/studio,2024-11,36,11,5,3,6,0,0,0,0,61
credebl/studio,2024-12,33,10,13,3,3,0,3,0,0,65
credebl/studio,2025-01,39,25,24,7,8,0,8,0,0,111
credebl/studio,2025-02,2,0,2,0,0,0,0,0,0,4
credebl/studio,2025-03,1,4,2,3,1,0,0,1,1,13
credebl/studio,2025-04,5,1,0,0,1,32,0,1,1,41
credebl/studio,2025-05,90,32,30,1,15,8,16,1,0,193
credebl/studio,2025-06,54,20,1,0,4,0,0,0,0,79
credebl/studio,2025-07,32,30,11,19,5,1,0,0,0,98
credebl/studio,2025-08,14,9,12,0,2,0,0,0,0,37
credebl/studio,2025-09,17,31,8,33,12,0,1,2,1,105
credebl/studio,2025-10,5,2,2,1,1,0,1,0,1,13
credebl/studio,2025-11,3,0,0,0,0,0,0,0,0,3
credebl/studio,2025-12,13,4,5,1,2,0,1,0,0,26
credebl/studio,2026-01,0,0,0,0,1,0,0,0,0,1
credebl/studio,2026-02,5,1,0,0,2,0,0,0,0,8
credebl/studio,2026-03,5,3,0,2,0,0,0,0,0,10
credebl/studio,2026-04,1,0,1,0,0,0,0,0,0,2
credebl/platform,2024-01,34,14,3,2,13,3,3,0,0,72
credebl/platform,2024-02,17,15,3,8,10,2,0,0,0,55
credebl/platform,2024-03,7,7,0,13,4,3,0,0,0,34
credebl/platform,2024-04,0,2,1,0,3,29,0,22,0,57
credebl/platform,2024-05,1,1,2,0,1,1,0,5,0,11
credebl/platform,2024-06,8,3,8,3,1,0,1,0,0,24
credebl/platform,2024-07,1,2,2,0,1,2,0,0,0,8
credebl/platform,2024-08,1,2,2,0,1,6,0,1,0,13
credebl/platform,2024-09,0,0,0,2,0,4,0,7,0,13
credebl/platform,2024-10,0,0,1,0,0,8,0,7,0,16
credebl/platform,2024-11,5,5,1,0,4,1,0,0,0,16
credebl/platform,2024-12,15,7,12,0,2,0,10,0,0,46
credebl/platform,2025-01,17,16,1,8,3,0,0,0,0,45
credebl/platform,2025-02,10,2,4,0,3,0,3,0,0,22
credebl/platform,2025-03,4,8,2,3,4,0,0,1,1,23
credebl/platform,2025-04,2,1,2,0,1,5,2,4,1,18
credebl/platform,2025-05,0,0,2,0,0,0,0,0,0,2
credebl/platform,2025-06,0,0,0,0,0,1,0,0,0,1
credebl/platform,2025-07,0,0,1,0,0,0,0,0,0,1
credebl/platform,2025-08,1,3,2,0,1,0,0,0,0,7
credebl/platform,2025-09,1,2,4,0,1,0,0,0,1,9
credebl/platform,2025-10,2,1,1,0,0,0,0,0,0,4
credebl/platform,2025-11,10,2,1,0,1,0,0,2,0,16
credebl/platform,2025-12,11,4,4,0,1,0,1,0,0,21
credebl/platform,2026-01,15,7,1,0,4,0,0,4,0,31
credebl/platform,2026-02,9,2,0,0,3,0,1,0,0,15
credebl/platform,2026-03,6,0,1,0,1,0,0,1,0,9
credebl/platform,2026-04,6,0,0,1,1,0,0,0,0,8
credebl/credo-controller,2024-06,0,2,0,0,2,0,0,0,0,4
credebl/credo-controller,2024-07,9,6,5,0,1,0,4,0,0,25
credebl/credo-controller,2024-08,0,0,1,0,0,0,0,0,0,1
credebl/credo-controller,2025-01,5,9,0,0,2,0,0,0,0,16
credebl/credo-controller,2025-02,4,1,1,0,1,0,1,0,0,8
credebl/credo-controller,2025-03,6,8,1,0,3,0,0,0,0,18
credebl/credo-controller,2025-04,0,0,0,0,0,0,0,0,1,1
credebl/credo-controller,2025-09,0,1,1,0,1,0,0,0,1,4
credebl/credo-controller,2025-10,0,2,0,0,0,0,0,0,1,3
credebl/credo-controller,2025-11,1,0,0,0,0,0,0,0,0,1
credebl/docs,2024-03,2,2,0,0,1,0,0,0,0,5
credebl/docs,2024-09,17,13,2,0,4,2,0,0,0,38
credebl/docs,2024-10,1,7,1,0,2,0,0,0,0,11
openwallet-foundation/credo-ts,2025-01,0,0,0,0,0,1,0,0,0,1
