repo,month,PullRequestEvent,PushEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,WatchEvent,CreateEvent,IssuesEvent,DeleteEvent,total
openwallet-foundation-labs/farmworker-wallet-os,2024-05,4,1,0,0,0,0,0,0,0,5
openwallet-foundation-labs/farmworker-wallet-os,2024-08,8,4,0,0,0,0,0,0,0,12
openwallet-foundation-labs/farmworker-wallet-os,2024-10,6,1,0,0,0,0,0,0,0,7
openwallet-foundation-labs/farmworker-wallet-os,2025-03,2,1,0,0,0,0,0,0,0,3
openwallet-foundation-labs/farmworker-wallet-os,2025-04,11,4,0,0,0,0,1,0,0,16
openwallet-foundation-labs/farmworker-wallet-os,2025-05,1,1,0,0,0,0,0,0,0,2
openwallet-foundation-labs/farmworker-wallet-os,2025-08,3,1,0,0,0,0,0,0,0,4
openwallet-foundation-labs/farmworker-wallet-os,2026-01,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/farmworker-wallet-os,2026-03,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/fwos-demo-app,2023-08,6,3,1,0,0,1,0,1,0,12
openwallet-foundation-labs/fwos-demo-app,2023-10,8,6,0,0,0,0,1,0,1,16
openwallet-foundation-labs/fwos-demo-app,2023-11,3,2,0,0,0,0,0,0,0,5
openwallet-foundation-labs/fwos-demo-app,2024-03,2,1,0,0,0,0,0,0,0,3
openwallet-foundation-labs/fwos-demo-app,2024-04,2,1,0,0,0,0,0,0,0,3
openwallet-foundation/project-proposals,2023-06,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/project-proposals,2023-07,0,0,0,9,9,0,0,0,0,18
openwallet-foundation/project-proposals,2023-08,0,0,0,4,3,0,0,0,0,7
openwallet-foundation/project-proposals,2023-12,0,0,1,0,0,0,0,0,0,1
openwallet-foundation-labs/fwos-native-template,2023-08,4,2,0,0,0,1,0,0,0,7
openwallet-foundation-labs/fwos-native-template,2023-10,4,4,0,0,0,0,0,0,0,8
openwallet-foundation-labs/fwos-native-template,2023-11,4,1,0,0,0,0,0,0,0,5
openwallet-foundation-labs/fwos-native-template,2024-03,2,1,0,0,0,0,0,0,0,3
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-04,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-10,5,0,2,0,0,0,0,0,0,7
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-11,1,0,1,0,0,0,0,0,0,2
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2025-01,1,0,2,0,0,0,0,0,0,3
hyperledger-labs/aries-sdk-mendix,2023-08,4,1,0,0,0,0,0,0,0,5
openwallet-foundation/architecture-sig,2023-07,0,0,0,0,0,1,0,0,0,1
openwallet-foundation/architecture-sig,2024-01,2,0,1,0,0,0,0,0,0,3
openwallet-foundation/architecture-sig,2024-02,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/tac,2023-08,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/tac,2024-08,1,0,1,0,0,0,0,0,0,2
openwallet-foundation/tac,2024-09,1,0,1,0,0,0,0,0,0,2
hyperledger-labs/hyperledger-labs.github.io,2023-08,1,0,1,0,0,1,0,0,0,3
hyperledger-labs/hyperledger-labs.github.io,2024-04,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-cloudagent-python,2023-07,3,0,1,0,0,0,0,0,0,4
openwallet-foundation/credo-ts,2024-05,0,0,3,0,0,0,0,1,0,4
hyperledger/anoncreds-rs,2024-01,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2024-04,0,0,1,0,0,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-kmp,2024-12,0,0,0,0,0,1,0,0,0,1
openwallet-foundation-labs/eudi-wallet-kit-react-native,2024-05,0,0,0,0,0,1,0,0,0,1
openwallet-foundation/acapy,2024-10,0,0,0,0,0,1,0,0,0,1
trustoverip/dtgwg-general,2026-04,0,0,0,0,0,1,0,0,0,1
trustoverip/tswg-trust-registry-service-profile,2023-08,0,0,0,0,0,1,0,0,0,1
