repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestEvent,IssuesEvent,WatchEvent,total
hiero-ledger/hiero-improvement-proposals,2025-04,1,1,1,0,0,0,3
hiero-ledger/hiero-improvement-proposals,2025-05,23,25,1,0,0,0,49
hiero-ledger/hiero-improvement-proposals,2025-08,1,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-09,0,0,2,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-11,0,0,0,3,0,0,3
hiero-ledger/hiero-improvement-proposals,2026-01,1,1,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2026-02,0,0,0,1,0,0,1
hiero-ledger/hiero-improvement-proposals,2026-03,1,0,0,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2025-05,0,0,2,0,0,0,2
hiero-ledger/hiero-json-rpc-relay,2025-06,2,2,0,1,0,0,5
hiero-ledger/hiero-json-rpc-relay,2025-07,9,7,5,0,1,0,22
hiero-ledger/hiero-json-rpc-relay,2025-08,0,0,1,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2025-12,0,0,1,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2026-02,2,0,0,0,0,0,2
hiero-ledger/hiero-mirror-node,2025-04,1,1,0,4,1,0,7
hiero-ledger/hiero-mirror-node,2025-05,7,8,1,0,0,0,16
hiero-ledger/hiero-mirror-node,2025-08,0,0,0,0,1,0,1
hiero-ledger/hiero-local-node,2025-05,0,0,3,0,1,0,4
hiero-ledger/hiero-local-node,2025-06,0,0,1,1,0,0,2
hiero-ledger/hiero-mirror-node-explorer,2025-04,0,0,1,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2025-05,0,0,2,0,3,0,5
hiero-ledger/hiero-sdk-js,2025-02,0,0,0,0,1,0,1
hiero-ledger/hiero-sdk-js,2025-03,0,0,1,0,0,0,1
hiero-ledger/hiero-sdk-js,2025-05,0,0,0,0,1,0,1
hiero-ledger/hiero,2025-03,0,0,0,0,0,1,1
hiero-ledger/hiero-consensus-node,2026-03,0,1,0,0,0,0,1
hiero-ledger/hiero-sdk-go,2024-11,0,0,1,0,0,0,1
