repo,month,PullRequestEvent,PullRequestReviewEvent,PushEvent,ForkEvent,PullRequestReviewCommentEvent,IssueCommentEvent,IssuesEvent,CreateEvent,DeleteEvent,total
hyperledger-labs/fabric-ansible-collection,2024-02,0,0,0,1,0,0,0,0,0,1
hyperledger-labs/fabric-ansible-collection,2024-03,1,0,0,0,0,1,0,0,0,2
hyperledger-labs/fabric-ansible-collection,2024-04,19,2,8,1,0,0,0,0,0,30
hyperledger-labs/fabric-ansible-collection,2024-05,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-ansible-collection,2024-06,5,0,3,0,0,0,0,0,0,8
hyperledger-labs/fabric-ansible-collection,2024-09,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2023-09,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-samples,2023-10,1,3,0,0,2,0,0,0,0,6
hyperledger/fabric-samples,2024-05,1,6,0,1,6,0,0,0,0,14
hyperledger/fabric-samples,2024-06,3,0,0,0,0,0,0,0,0,3
hyperledger-labs/microfab,2024-05,4,1,1,2,0,1,0,0,0,9
hyperledger-labs/microfab,2024-06,4,2,0,0,1,1,0,1,1,10
hyperledger/fabric,2016-06,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric,2016-08,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2023-02,0,0,0,0,0,2,3,0,0,5
hyperledger/fabric,2024-01,3,0,0,1,0,0,1,0,0,5
hyperledger/fabric-ca,2022-06,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-ca,2024-01,2,0,0,1,0,0,0,0,0,3
hyperledger-labs/fabric-operator,2023-04,0,0,0,1,0,0,0,0,0,1
hyperledger/composer,2017-10,0,0,0,0,0,1,0,0,0,1
